Electoral District Number,Population,Electors,Polling Stations,Valid Ballots,Percentage of Valid Ballots,Rejected Ballots,Percentage of Rejected Ballots,Total Ballots Cast,Percentage Turnout
24034,99811,82472,212,57572,98.3,996,1.7,58568,71
24035,105783,85445,260,55279,98.4,925,1.6,56204,65.8
24036,108795,85870,232,62312,99.5,321,0.5,62633,72.9
24037,105317,84192,225,53763,98.5,823,1.5,54586,64.8
24038,111357,96848,302,63173,98.4,1030,1.6,64203,66.3
24039,107034,85056,228,54681,98.9,594,1.1,55275,65
24040,103053,82438,216,54205,98.8,683,1.2,54888,66.6
24042,107593,87339,251,62588,98.5,975,1.5,63563,72.8
24041,104895,83844,222,51707,98.2,925,1.8,52632,62.8
24043,104366,85972,227,58199,98.4,939,1.6,59138,68.8
24044,104038,81376,230,61744,99,627,1,62371,76.6
24045,106888,92372,249,64683,98.7,852,1.3,65535,70.9
24046,94766,75229,239,42030,98.5,645,1.5,42675,56.7
24065,96082,76396,199,54525,98.6,769,1.4,55294,72.4
24047,88745,71653,231,47287,98,941,2,48228,67.3
24048,103536,87938,230,59418,98.1,1178,1.9,60596,68.9
24049,95095,75693,200,57917,98.5,881,1.5,58798,77.7
24050,99518,83808,230,53009,97.7,1226,2.3,54235,64.7
24051,97261,78672,266,49243,98.4,777,1.6,50020,63.6
24052,101258,74416,205,48051,99.1,425,0.9,48476,65.1
24053,104410,79832,211,51593,99.4,311,0.6,51904,65
24054,100916,71136,192,43619,99,426,1,44045,61.9
24055,108977,79136,213,50770,98.6,698,1.4,51468,65
24014,95326,78855,226,59390,98.7,800,1.3,60190,76.3
24056,108740,85333,222,58505,99.4,368,0.6,58873,69
24057,106499,87922,277,62625,99.3,467,0.7,63092,71.8
24058,104394,88337,258,62059,98.8,781,1.2,62840,71.1
24059,96525,79593,229,53867,98.5,820,1.5,54687,68.7
24060,111191,92117,252,65211,98.2,1179,1.8,66390,72.1
24061,103897,85894,263,58617,98.5,912,1.5,59529,69.3
24018,84809,70182,220,44946,98.9,493,1.1,45439,64.7
24062,102816,81528,214,58046,98.4,927,1.6,58973,72.3
24063,102085,89667,242,56657,98.2,1044,1.8,57701,64.4
24064,106293,84884,239,58335,98.7,788,1.3,59123,69.7
24066,99629,81016,243,54369,97.8,1214,2.2,55583,68.6
24067,108244,88519,245,60386,98,1231,2,61617,69.6
24068,93842,69138,179,40330,99,409,1,40739,58.9
24069,110649,76746,205,44531,98.5,689,1.5,45220,58.9
24070,110273,92352,272,58947,98,1175,2,60122,65.1
24071,107036,92604,269,61535,98.4,998,1.6,62533,67.5
24072,107538,88533,267,58920,97.8,1299,2.2,60219,68
24073,107988,87658,248,57300,98.6,796,1.4,58096,66.3
24075,106322,84502,209,58284,97.9,1256,2.1,59540,70.5
24013,98499,79440,216,56248,98.2,1007,1.8,57255,72.1
24076,108774,91098,261,60289,98.5,940,1.5,61229,67.2
24074,111905,90804,251,65528,98.9,714,1.1,66242,73
24077,103070,85702,238,50164,99.1,435,0.9,50599,59
24078,104373,86225,232,54343,98.3,941,1.7,55284,64.1
35001,109600,85251,210,56307,99.6,206,0.4,56513,66.3
35002,79801,63253,211,41374,99.6,161,0.4,41535,65.7
35003,106064,79127,204,50980,99.6,204,0.4,51184,64.7
35004,101584,77320,201,49341,99.6,187,0.4,49528,64.1
35005,97876,76084,217,50535,99.6,181,0.4,50716,66.7
35006,109488,85021,239,57713,99.6,211,0.4,57924,68.1
35007,107084,77440,194,55530,99.6,216,0.4,55746,72
35008,103122,65460,181,39632,99.3,264,0.7,39896,60.9
35009,99712,69251,179,45206,99.3,304,0.7,45510,65.7
35010,111951,74148,187,48166,99.3,318,0.7,48484,65.4
35011,107364,73019,193,45464,99.4,270,0.6,45734,62.6
35012,101762,71990,173,43398,99.4,245,0.6,43643,60.6
35013,132443,97409,259,63272,99.6,272,0.4,63544,65.2
35014,106475,82607,249,56333,99.6,212,0.4,56545,68.5
35015,120569,96126,269,70100,99.6,263,0.4,70363,73.2
35016,111693,83514,234,53339,99.6,227,0.4,53566,64.1
35088,89522,74185,193,59239,99.7,196,0.3,59435,80.1
35017,111866,79755,263,51971,99.5,263,0.5,52234,65.5
35018,102360,74413,190,49584,99.4,287,0.6,49871,67
35019,93007,63547,174,41588,99.4,257,0.6,41845,65.8
35020,103073,72787,210,45687,99.4,259,0.6,45946,63.1
35021,99820,71037,184,51086,99.6,217,0.4,51303,72.2
35022,116341,92598,266,60451,99.6,232,0.4,60683,65.5
35023,115395,94069,280,64185,99.6,233,0.4,64418,68.5
35024,113150,78535,205,55792,99.4,328,0.6,56120,71.5
35025,110109,83446,217,56933,99.6,230,0.4,57163,68.5
35026,120477,92489,233,60531,99.6,241,0.4,60772,65.7
35027,114910,88440,231,61802,99.5,303,0.5,62105,70.2
35029,117601,69942,176,42064,99.4,257,0.6,42321,60.5
35028,115437,93880,237,64508,99.5,307,0.5,64815,69
35030,97081,79397,213,55510,99.6,220,0.4,55730,70.2
35031,106240,86010,260,64173,99.4,399,0.6,64572,75.1
35032,121688,98453,243,69868,99.6,298,0.4,70166,71.3
