Province,Electoral District Name,Electoral District Number,Candidate,Candidate Affiliation,Candidate Occupation,Votes Obtained,Percentage of Votes Obtained,Majority,Majority Percentage,Seat Assignment
Nova Scotia,Cumberland--Colchester,12003,Richard Trueman Plett,Independent,Self-employed,70,0.2,,,
Nova Scotia,Dartmouth--Cole Harbour,12004,Darren Fisher,Liberal,Municipal Councillor,30407,58.2,17650,33.8,117
Nova Scotia,Dartmouth--Cole Harbour,12004,Robert Chisholm,NDP,Parliamentarian,12757,24.4,,,
Nova Scotia,Dartmouth--Cole Harbour,12004,Jason Cole,Conservative,Clergy,7331,14,,,
Nova Scotia,Dartmouth--Cole Harbour,12004,Brynn Nheiley,Green,Urban planner,1775,3.4,,,
Nova Scotia,Halifax,12005,Andy Fillmore,Liberal,City Planner,27431,51.7,8269,15.6,66
Nova Scotia,Halifax,12005,Megan Leslie,NDP,Parliamentarian,19162,36.1,,,
Nova Scotia,Halifax,12005,Irvine Carvery,Conservative,Retired,4564,8.6,,,
Nova Scotia,Halifax,12005,Thomas Trappenberg,Green,Professor,1745,3.3,,,
Nova Scotia,Halifax,12005,Allan Bezanson,Marxist-Leninist,Retired,130,0.2,,,
Nova Scotia,Halifax West,12006,Geoff Regan,Liberal,Parliamentarian,34377,68.6,26540,53,0
Nova Scotia,Halifax West,12006,Michael McGinnis,Conservative,Site supervisor,7837,15.6,,,
Nova Scotia,Halifax West,12006,Joanne Hussey,NDP,Research Consultant,5894,11.8,,,
Nova Scotia,Halifax West,12006,Richard Henryk Zurawski,Green,Lecturer,1971,3.9,,,
Nova Scotia,Kings--Hants,12007,Scott Brison,Liberal,Parliamentarian,33026,70.7,24349,52.2,14
Nova Scotia,Kings--Hants,12007,David Morse,Conservative,Retired,8677,18.6,,,
Nova Scotia,Kings--Hants,12007,Hugh Curry,NDP,Vintner's Assistant,2998,6.4,,,
Nova Scotia,Kings--Hants,12007,Will Cooper,Green,Artist,1569,3.4,,,
Nova Scotia,Kings--Hants,12007,Megan Brown-Hodges,Rhinoceros,Stay-at-home Mother,184,0.4,,,
Nova Scotia,Kings--Hants,12007,Edd Twohig,Independent,Retired Chartered Accountant,132,0.3,,,
Nova Scotia,Kings--Hants,12007,Clifford James Williams,Independent,Sales Account Manager,100,0.2,,,
Nova Scotia,Sackville--Preston--Chezzetcook,12008,Darrell Samson,Liberal,Supt. of Schools,23161,48,6548,13.6,161
Nova Scotia,Sackville--Preston--Chezzetcook,12008,Peter Stoffer,NDP,Parliamentarian,16613,34.4,,,
Nova Scotia,Sackville--Preston--Chezzetcook,12008,Robert Thomas Strickland,Conservative,Software Consultant,7186,14.9,,,
Nova Scotia,Sackville--Preston--Chezzetcook,12008,Mike Montgomery,Green,Security Manager,1341,2.8,,,
Nova Scotia,South Shore--St. Margarets,12009,Bernadette Jordan,Liberal,Development Officer,30045,56.9,18140,34.4,130
Nova Scotia,South Shore--St. Margarets,12009,Richard Clark,Conservative,Policy Director,11905,22.6,,,
Nova Scotia,South Shore--St. Margarets,12009,Alex Godbold,NDP,Teacher,8883,16.8,,,
Nova Scotia,South Shore--St. Margarets,12009,Richard Biggar,Green,Correctional officer,1534,2.9,,,
Nova Scotia,South Shore--St. Margarets,12009,Trevor Bruhm,Independent,Insulator Mechanic,257,0.5,,,
Nova Scotia,South Shore--St. Margarets,12009,Ryan Barry,Communist,Residential Rehabilitation Worker,151,0.3,,,
Nova Scotia,Sydney--Victoria,12010,Mark Eyking,Liberal,Farmer,29995,73.2,24644,60.1,31
Nova Scotia,Sydney--Victoria,12010,Monika Dutt,NDP,Physician,5351,13.1,,,
Nova Scotia,Sydney--Victoria,12010,John Douglas Chiasson,Conservative,Ministerial Staffer,4360,10.6,,,
Nova Scotia,Sydney--Victoria,12010,Adrianna MacKinnon,Green,Teacher,1026,2.5,,,
Nova Scotia,Sydney--Victoria,12010,Wayne James Hiscock,Libertarian,Geomatics Engineering technologist ,242,0.6,,,
Nova Scotia,West Nova,12011,Colin Fraser,Liberal,Lawyer,28775,63,16859,36.9,120
Nova Scotia,West Nova,12011,Arnold LeBlanc,Conservative,Executive Regional Assistant to Parliamentarian,11916,26.1,,,
Nova Scotia,West Nova,12011,Greg Foster,NDP,Teacher,3084,6.8,,,
Nova Scotia,West Nova,12011,Clark Walton,Green,Retired Military,1904,4.2,,,
New Brunswick,Acadie--Bathurst,13001,Serge Cormier,Liberal,Public Servant,25845,50.7,5766,11.3,50
New Brunswick,Acadie--Bathurst,13001,Jason Godin,NDP,Student,20079,39.4,,,
New Brunswick,Acadie--Bathurst,13001,Riba Girouard-Riordon,Conservative,Retired professor,3852,7.6,,,
New Brunswick,Acadie--Bathurst,13001,Dominique Breau,Green,Artist,1187,2.3,,,
New Brunswick,Beauséjour,13002,Dominic LeBlanc,Liberal,Parliamentarian,36534,69,28525,53.9,9
New Brunswick,Beauséjour,13002,Hélène Boudreau,NDP,Registered Nurse,8009,15.1,,,
New Brunswick,Beauséjour,13002,Ann Bastarache,Conservative,Realtor,6017,11.4,,,
New Brunswick,Beauséjour,13002,Kevin King,Green,Engineering Technologist,2376,4.5,,,
New Brunswick,Fredericton,13003,Matt DeCourcey,Liberal,Public Servant,23016,49.3,9736,20.8,68
New Brunswick,Fredericton,13003,Keith Ashfield,Conservative,Parliamentarian,13280,28.4,,,
New Brunswick,Fredericton,13003,Mary Lou Babineau,Green,Professor,5804,12.4,,,
New Brunswick,Fredericton,13003,Sharon Scott-Levesque,NDP,Nurse,4622,9.9,,,
New Brunswick,Fundy Royal,13004,Alaina Lockhart,Liberal,Business Owner,19136,40.9,1775,3.8,138
New Brunswick,Fundy Royal,13004,Rob Moore,Conservative,Parliamentarian,17361,37.1,,,
New Brunswick,Fundy Royal,13004,Jennifer McKenzie,NDP,Engineer,8204,17.5,,,
New Brunswick,Fundy Royal,13004,Stephanie Coburn,Green,Retired,1823,3.9,,,
New Brunswick,Fundy Royal,13004,David Raymond Amos,Independent,Mechanic,296,0.6,,,
New Brunswick,Madawaska--Restigouche,13005,René Arseneault,Liberal,Lawyer,20778,55.7,11108,29.8,91
New Brunswick,Madawaska--Restigouche,13005,Rosaire L'Italien,NDP,Retired,9670,25.9,,,
New Brunswick,Madawaska--Restigouche,13005,Bernard Valcourt,Conservative,Lawyer,6151,16.5,,,
New Brunswick,Madawaska--Restigouche,13005,Françoise Aubin,Green,Student,707,1.9,,,
New Brunswick,Miramichi--Grand Lake,13006,Pat Finnigan,Liberal,Business Owner,17202,47.3,4726,13,116
New Brunswick,Miramichi--Grand Lake,13006,Tilly O'Neill-Gordon,Conservative,Primary Teacher,12476,34.3,,,
New Brunswick,Miramichi--Grand Lake,13006,Patrick Colford,NDP,President - New Brunswick Federation of Labour,5588,15.4,,,
New Brunswick,Miramichi--Grand Lake,13006,Matthew Ian Clark,Green,Accounting Technician ,1098,3,,,
New Brunswick,Moncton--Riverview--Dieppe,13007,Ginette Petitpas Taylor,Liberal,Codiac RCMP Victim Services Coordinator,30054,57.8,18886,36.3,76
New Brunswick,Moncton--Riverview--Dieppe,13007,Robert Goguen,Conservative,Parliamentarian,11168,21.5,,,
New Brunswick,Moncton--Riverview--Dieppe,13007,Luc LeBlanc,NDP,Historian,8420,16.2,,,
New Brunswick,Moncton--Riverview--Dieppe,13007,Luc Melanson,Green,Sales Representative,2399,4.6,,,
New Brunswick,New Brunswick Southwest,13008,Karen Ludwig,Liberal,Associate Dean,16656,43.9,2031,5.4,141
New Brunswick,New Brunswick Southwest,13008,John Williamson,Conservative,Parliamentarian,14625,38.6,,,
New Brunswick,New Brunswick Southwest,13008,Andrew Graham,NDP,Carpenter,4768,12.6,,,
New Brunswick,New Brunswick Southwest,13008,Gayla MacIntosh,Green,Taxi Driver,1877,4.9,,,
New Brunswick,Saint John--Rothesay,13009,Wayne Long,Liberal,President of Saint John Sea Dogs,20634,48.8,7719,18.3,139
New Brunswick,Saint John--Rothesay,13009,Rodney Weston,Conservative,Parliamentarian,12915,30.5,,,
New Brunswick,Saint John--Rothesay,13009,AJ Griffin,NDP,Technical Writer,7411,17.5,,,
New Brunswick,Saint John--Rothesay,13009,Sharon Murphy,Green,Businesswoman,1321,3.1,,,
New Brunswick,Tobique--Mactaquac,13010,TJ Harvey,Liberal,Businessman,17909,46.6,3684,9.6,127
New Brunswick,Tobique--Mactaquac,13010,Richard Bragdon,Conservative,Clergyman,14225,37,,,
New Brunswick,Tobique--Mactaquac,13010,Robert Kitchen,NDP,Salesman,4334,11.3,,,
New Brunswick,Tobique--Mactaquac,13010,Terry Wishart,Green,Community Organizer,1959,5.1,,,
Quebec,Abitibi--Baie-James--Nunavik--Eeyou,24001,Romeo Saganash,NDP,Parliamentarian,12778,37,1684,4.9,256
Quebec,Abitibi--Baie-James--Nunavik--Eeyou,24001,Pierre Dufour,Liberal,Administrator,11094,32.1,,,
Quebec,Abitibi--Baie-James--Nunavik--Eeyou,24001,Luc Ferland,Bloc Québécois,Consultant,6398,18.5,,,
Quebec,Abitibi--Baie-James--Nunavik--Eeyou,24001,Steven Hébert,Conservative,Political Advisor,3211,9.3,,,
Quebec,Abitibi--Baie-James--Nunavik--Eeyou,24001,Patrick Benoît,Green,Operator,779,2.3,,,
Quebec,Abitibi--Baie-James--Nunavik--Eeyou,24001,Mario Gagnon,Rhinoceros,Special Education Teacher,258,0.7,,,
Quebec,Abitibi--Témiscamingue,24002,Christine Moore,NDP,Parliamentarian,20636,41.5,5903,11.9,290
Quebec,Abitibi--Témiscamingue,24002,Claude Thibault,Liberal,Exports Commissioner,14733,29.6,,,
Quebec,Abitibi--Témiscamingue,24002,Yvon Moreau,Bloc Québécois,Journalist,9651,19.4,,,
