Province,Electoral District Name,Electoral District Number,Candidate,Candidate Affiliation,Candidate Occupation,Votes Obtained,Percentage of Votes Obtained,Majority,Majority Percentage,Seat Assignment
Quebec,Compton--Stanstead,24023,Marie-Claude Bibeau,Liberal,Manager,20582,36.9,5282,9.5,18
Quebec,Compton--Stanstead,24023,Jean Rousseau,NDP,Parliamentarian,15300,27.4,,,
Quebec,Compton--Stanstead,24023,France Bonsant,Bloc Québécois,Retired,11551,20.7,,,
Quebec,Compton--Stanstead,24023,Gustavo Labrador,Conservative,Communications Operator,6978,12.5,,,
Quebec,Compton--Stanstead,24023,Korie Marshall,Green,Editor,1085,1.9,,,
Quebec,Compton--Stanstead,24023,Kévin Côté,Rhinoceros,Teacher,315,0.6,,,
Quebec,Dorval--Lachine--LaSalle,24024,Anju Dhillon,Liberal,Lawyer,29974,54.9,18205,33.3,105
Quebec,Dorval--Lachine--LaSalle,24024,Isabelle Morin,NDP,Parliamentarian,11769,21.6,,,
Quebec,Dorval--Lachine--LaSalle,24024,Daniela Chivu,Conservative,Administrator,6049,11.1,,,
Quebec,Dorval--Lachine--LaSalle,24024,Jean-Frédéric Vaudry,Bloc Québécois,Student,5338,9.8,,,
Quebec,Dorval--Lachine--LaSalle,24024,Vincent J. Carbonneau,Green,Student,1245,2.3,,,
Quebec,Dorval--Lachine--LaSalle,24024,Soulèye Ndiaye,Independent,Financial Agent,230,0.4,,,
Quebec,Drummond,24025,François Choquette,NDP,Teacher,15833,30.5,2040,3.9,260
Quebec,Drummond,24025,Pierre Côté,Liberal,Self-employed,13793,26.5,,,
Quebec,Drummond,24025,Diane Bourgeois,Bloc Québécois,Retired,11862,22.8,,,
Quebec,Drummond,24025,Pascale Déry,Conservative,Journalist,9221,17.7,,,
Quebec,Drummond,24025,Émile Coderre,Green,Student,1270,2.4,,,
Quebec,Gaspésie--Les Îles-de-la-Madeleine,24026,Diane Lebouthillier,Liberal,Councillor,15345,38.7,2460,6.2,17
Quebec,Gaspésie--Les Îles-de-la-Madeleine,24026,Philip Toone,NDP,Notary,12885,32.5,,,
Quebec,Gaspésie--Les Îles-de-la-Madeleine,24026,Nicolas Roussy,Bloc Québécois,Communications and Public Management Consultant,8289,20.9,,,
Quebec,Gaspésie--Les Îles-de-la-Madeleine,24026,Jean-Pierre Pigeon,Conservative,Financial Services Advisor,2398,6.1,,,
Quebec,Gaspésie--Les Îles-de-la-Madeleine,24026,Jim Morrison,Green,Retired Consultant,400,1,,,
Quebec,Gaspésie--Les Îles-de-la-Madeleine,24026,Max Boudreau,Rhinoceros,Fisherman,300,0.8,,,
Quebec,Gatineau,24027,Steven MacKinnon,Liberal,Manager,31076,53.8,15724,27.2,74
Quebec,Gatineau,24027,Françoise Boivin,NDP,Parliamentarian,15352,26.6,,,
Quebec,Gatineau,24027,Philippe Boily,Bloc Québécois,Financial Education Advisor,5455,9.4,,,
Quebec,Gatineau,24027,Luc Angers,Conservative,Teacher,4733,8.2,,,
Quebec,Gatineau,24027,Guy Dostaler,Green,Carpenter,942,1.6,,,
Quebec,Gatineau,24027,Guy J. Bellavance,Independent,Federal Public Servant,148,0.3,,,
Quebec,Gatineau,24027,Pierre Soublière,Marxist-Leninist,Teacher,94,0.2,,,
Quebec,Hochelaga,24028,Marjolaine Boutin-Sweet,NDP,Parliamentarian,16034,30.9,500,1,221
Quebec,Hochelaga,24028,Marwah Rizqy,Liberal,Taxation Professor,15534,29.9,,,
Quebec,Hochelaga,24028,Simon Marchand,Bloc Québécois,Manager - Fraud Prevention,14389,27.7,,,
